timestamp;Buffer;FPS;ReportedBitrate;Resolution;CalcBitrate
1699622405180;3.986;30;3312;1280x720;66
1699622406179;3.254;30;3312;1280x720;411
1699622407179;6.33;30;3312;1280x720;1061
1699622408184;13.13;30;3312;1280x720;1713
1699622409179;16.197;30;3312;1280x720;2337
1699622410181;15.135;30;3312;1280x720;2904
1699622411186;18.215;30;3312;1280x720;3532
1699622412181;17.277;30;3312;1280x720;4133
1699622413179;16.212;30;3312;1280x720;4911
1699622414179;19.151;30;3312;1280x720;5549
1699622415186;18.356;30;3312;1280x720;6248
1699622416186;17.292;30;3312;1280x720;7132
1699622417186;16.231;30;3312;1280x720;7781
1699622418186;15.165;30;3312;1280x720;8442
1699622419186;18.363;30;3312;1280x720;9138
1699622420180;17.311;30;3312;1280x720;9861
1699622421186;16.253;30;3312;1280x720;10699
1699622422179;15.186;30;3312;1280x720;11287
1699622423186;18.356;30;3312;1280x720;11975
1699622424179;17.284;30;3312;1280x720;12597
1699622425180;20.204;30;3312;1280x720;13248
1699622426186;19.206;30;3312;1280x720;13761
1699622427179;22.142;30;3312;1280x720;14493
1699622428186;21.331;30;3312;1280x720;15367
1699622429179;20.283;30;3312;1280x720;15994
1699622430186;23.218;30;3312;1280x720;16701
1699622431179;22.157;30;3312;1280x720;17324
1699622432186;21.361;30;3312;1280x720;17992
1699622433186;24.294;30;3312;1280x720;18737
1699622434179;23.234;30;3312;1280x720;19407
1699622435186;22.137;30;3312;1280x720;20133
1699622436182;21.372;30;3312;1280x720;20808
1699622437186;20.315;30;3312;1280x720;21554
1699622438186;23.253;30;3312;1280x720;22176
1699622439186;22.194;30;3312;1280x720;22762
1699622440181;21.387;30;3312;1280x720;23508
1699622441186;20.323;30;3312;1280x720;24100
1699622442183;19.267;30;3312;1280x720;24834
1699622443186;18.202;30;3312;1280x720;25443
1699622444179;17.138;30;3312;1280x720;26134
1699622445186;20.137;30;3312;1280x720;26817
1699622446186;19.282;30;3312;1280x720;27573
1699622447186;18.218;30;3312;1280x720;28243
1699622448186;17.154;30;3312;1280x720;28951
1699622449186;16.361;30;3312;1280x720;29709
1699622450187;15.31;30;3312;1280x720;30370
1699622451186;14.248;30;3312;1280x720;30946
1699622452186;13.184;30;3312;1280x720;31619
1699622453186;12.392;30;3312;1280x720;32527
1699622454187;11.32;30;3312;1280x720;33083
1699622455203;10.263;30;3312;1280x720;33743
1699622456186;9.199;30;3312;1280x720;34323
1699622457186;8.397;30;3312;1280x720;34971
1699622458186;11.333;18;639;426x240;35662
1699622459186;10.277;24;1867;854x480;36345
1699622460180;9.213;24;1867;854x480;37074
1699622461179;8.153;24;1867;854x480;37622
1699622462186;7.346;24;1867;854x480;38297
1699622463186;6.288;24;1867;854x480;38796
1699622464179;5.231;24;1867;854x480;39660
1699622465186;8.166;24;1867;854x480;40304
1699622466186;7.365;24;1867;854x480;40735
1699622467183;6.307;24;1867;854x480;41148
1699622468186;9.245;24;1867;854x480;41538
1699622469182;8.183;24;1867;854x480;41938
1699622470179;11.278;24;1867;854x480;42371
1699622471186;10.2;24;1867;854x480;42779
1699622472186;13.262;24;1867;854x480;43210
1699622473186;12.2;24;1867;854x480;43612
1699622474179;11.403;24;1867;854x480;43976
1699622475186;10.252;24;1867;854x480;44409
